event	Eta	Phi	pT
40042	-0.671919	0.992886	2.08924
40042	-0.380284	0.97311	2.23704e-05
40042	-0.419848	0.943804	6.98042
40042	-0.573775	0.379262	2.90207
40042	-0.515865	0.661645	5.99547e-05
40042	-0.550168	0.442188	2.86214e-05
40042	-0.491379	0.595233	1.44994
40042	-0.517207	0.498551	2.73774e-05
40042	-0.59676	0.534696	1.0508
40042	-0.600662	0.550454	13.429
40042	-0.39305	0.750338	2.23363
40042	-0.449537	0.810265	3.42184
40042	-0.556632	0.656419	8.93344e-05
40042	-0.602073	0.755791	13.9307
40042	-0.437092	0.733381	7.23512e-05
40042	-0.449267	0.693866	4.12767
40042	-0.480582	0.711673	3.8017
