event	Eta	Phi	pT
10765	-1.07254	1.33301	1.70469
10765	-0.824343	1.12571	2.26052
10765	-0.722742	1.2083	2.66449
10765	-0.5367	1.28369	0.000214898
10765	-0.597492	1.24011	3.59361e-05
10765	-0.585052	1.23704	35.8808
10765	-0.516703	1.72907	0.882189
10765	-0.713208	1.80253	2.10168
10765	-1.02527	1.40604	0.971333
10765	-0.817458	1.29088	8.216
10765	-0.534763	1.47796	3.78518
10765	-0.731615	1.35141	1.24261
10765	-0.665878	1.44026	1.36615
10765	-0.630091	1.39983	3.83345
10765	-0.614915	1.42181	10.2508
10765	-0.88213	1.37486	6.44785e-05
10765	-0.788027	1.3578	7.34178e-05
10765	-0.810408	1.36167	6.87974e-05
10765	-0.95519	1.48617	3.97367
10765	-0.594809	1.5187	2.78631e-05
10765	-0.710601	1.68648	10.5763
10765	-0.645038	1.53636	7.59062e-05
10765	-0.795104	1.64408	6.10001
10765	-0.699849	1.47372	2.11803e-05
10765	-0.719056	1.45728	3.16263e-05
10765	-0.699075	1.50422	2.42987e-05
10765	-0.742222	1.46846	3.57593
10765	-0.7752	1.46342	2.76624
10765	-0.722384	1.53948	5.58276e-05
10765	-0.838202	1.49989	5.76228e-05
10765	-0.84876	1.54617	2.76697e-05
10765	-0.830703	1.54909	0.000149237
10765	-0.795305	1.54785	24.0356
